#TIME	REQUESTED	accelerate	bash	conda	pip3	python	sps	tmux: client	tmux: server	zsh
1	16	0	0	0	0	0	0	0	0	0
2	16	0	0	0.90625	0	0	0.015625	0	0	0.140625
3	16	0	0	0	0	0	0.0078125	0	0	0.0598958
4	16	0	0	0	0	0	0.0111607	0	0	0.0513393
5	16	0	0	0	0	0	0.0109375	0	0	0.0359375
6	16	0	0	0	0	0	0.0104167	0	0	0.0299479
7	16	0	0	0	0	0	0.0120192	0	0	0.0276442
8	16	0	0	0	0	0	0.0110294	0	0	0.0211397
9	16	0	0	0	0	0	0.0112847	0	0	0.0199653
10	16	0	0	0	0	0	0.0111607	0	0	0.0171131
11	16	0	0	0	0	0	0.0115489	0	0	0.015625
12	16	0	0	0	0	0	0.0117188	0	0	0.014974
13	16	0	0	0	0	0	0.0109954	0	0	0.0133102
14	16	0	0	0	0	0	0.0113147	0	0	0.0123922
15	16	0	0	0	0	0	0.0115927	0	0	0.0115927
16	16	0	0	0	0	0	0.0110294	0	0	0.0105699
17	16	0	0	0	0	0	0.0116071	0	0	0.0102679
18	16	0	0	0	0	0	0.0115132	0	0	0.00945724
19	16	0	0	0	0	0	0.0113281	0	0	0.00898437
20	16	0	0	0	0	0	0.011814	0	0	0.00876524
21	16	0	0	0	0	0	0.0111111	0	0	0.00798611
22	16	0	0	0	0	0	0.0115489	0	0	0.0078125
23	16	0	0	0	0	0	0.0114796	0	0	0.00733418
24	16	0	0	0	0	0	0.0113358	0	0	0.00704657
25	16	0	0	0	0	0	0.0114183	0	0	0.00691106
26	16	0	0	0	0	0	0.0114397	0	0	0.00641741
27	16	0	0	0	0	0	0.0115132	0	0	0.00630482
28	16	0	0	0	0	0	0.0113877	0	0	0.0060911
29	16	0	0	0	0	0	0.0113407	0	0	0.00579637
30	16	0	0	0	0	0	0.0116567	0	0	0.00570437
31	16	0	0	0	0	0	0.0115385	0	0	0.00552885
32	16	0	0	0	0	0	0.011489	0	0	0.00528493
33	16	0	0	0	0	0	0.0116071	0	0	0.00513393
34	16	0	0	0	0	0	0.0116637	0	0	0.00506162
35	16	0	0	0	0	0	0.011402	0	0	0.00485642
36	16	0	0	0	0	0	0.0115132	0	0	0.00472862
37	16	0	0	0	0	0	0.0117695	0	0	0.00466721
38	16	0	0	0	0	0	0.0115741	0	0	0.00443673
39	16	0	0	0	0	0	0.0116235	0	0	0.00438262
40	16	0	0	0	0	0	0.0117188	0	0	0.00427827
41	16	0	0	0	0	0	0.0114943	0	0	0.00413075
42	16	0	0	0	0	0	0.0117188	0	0	0.00408381
43	16	0	0	0	0	0	0.0118056	0	0	0.00399306
44	16	0	0	0	0	0	0.0115927	0	0	0.00403226
45	16	0	0	0	0	0	0.0116776	0	0	0.00493421
46	16	0	0	0	0	0	0.0117188	0	0	0.00553385
47	16	0	0	0	0	0	0.0117985	0	0	0.00558036
48	16	0	0	0	0	0	0.0117574	0	0	0.00572401
49	16	0	0	0	0	0	0.0117953	0	0	0.00566789
50	16	0	0	0	0	0	0.011869	0	0	0.00570913
51	16	0	0	0	0	0	0.0116822	0	0	0.00554907
52	16	0	0	0	0	0	0.0117546	0	0	0.00544725
53	16	0	0	0	0	0	0.0119318	0	0	0.00539773
54	16	0	0	0	0	0	0.011615	0	0	0.00732854
55	16	0	0	0.296875	0	0	0.0116848	0	2.57034e-09	0.0940897
56	16	0	0	0	0	0	0.0117521	0	2.57034e-09	0.0666066
57	16	0	0	0	0	0	0.0117188	0	2.57034e-09	0.0412946
58	16	0	0	0	0	0	0.0118802	0	2.57034e-09	0.0370448
59	16	0	0	0	0	0	0.0119411	0	2.57034e-09	0.0326219
60	16	0	0	0	0	0	0.0117808	0	2.57034e-09	0.0314789
61	16	0	0	0	0	0	0.011811	0	2.57034e-09	0.0319355
62	16	0	0	0	0	0	0.0118702	0	3.8555e-09	0.158635
63	16	0	0	0	0	0	0.0119275	0	3.8555e-09	0.0956982
64	16	0	0	0	0	0	0.0118937	0	3.8555e-09	0.0717284
65	16	0	0	0.265625	0	0	0.0119213	0	5.14067e-09	0.0673138
66	16	0	0	0	0	0	0.0118886	0	5.14067e-09	0.0613957
67	16	0	0	0	0	0	0.0118304	0	5.14066e-09	0.0554411
68	16	0	0	0	0	0	0.0119681	0	5.14066e-09	0.0529659
69	16	0	0	0	0	0	0.0120192	0	5.14066e-09	0.0487434
