#TIME	REQUESTED	accelerate	bash	conda	pip3	python	sps	tmux: client	tmux: server	zsh
1	0	0	0	0	0	0	0.000881195	0	0	0
2	0	0	0	0.0267754	0	0	0.000881195	0	0	0.00391006
3	0	0	0	0	0	0	0.00112915	0	0	0.00418854
4	0	0	0	0	0	0	0.00112915	0	0	0.00418854
5	0	0	0	0	0	0	0.00112915	0	0	0.00418854
6	0	0	0	0	0	0	0.00112915	0	0	0.00418854
7	0	0	0	0	0	0	0.00112915	0	0	0.00418854
8	0	0	0	0	0	0	0.00112915	0	0	0.00418854
9	0	0	0	0	0	0	0.00112915	0	0	0.00418854
10	0	0	0	0	0	0	0.00112915	0	0	0.00418854
11	0	0	0	0	0	0	0.00112915	0	0	0.00418854
12	0	0	0	0	0	0	0.00112915	0	0	0.00418854
13	0	0	0	0	0	0	0.00112915	0	0	0.00418854
14	0	0	0	0	0	0	0.00112915	0	0	0.00418854
15	0	0	0	0	0	0	0.00112915	0	0	0.00418854
16	0	0	0	0	0	0	0.00112915	0	0	0.00418854
17	0	0	0	0	0	0	0.00112915	0	0	0.00418854
18	0	0	0	0	0	0	0.00112915	0	0	0.00418854
19	0	0	0	0	0	0	0.00112915	0	0	0.00418854
20	0	0	0	0	0	0	0.00112915	0	0	0.00418854
21	0	0	0	0	0	0	0.00112915	0	0	0.00418854
22	0	0	0	0	0	0	0.00112915	0	0	0.00418854
23	0	0	0	0	0	0	0.00112915	0	0	0.00418854
24	0	0	0	0	0	0	0.00112915	0	0	0.00418854
25	0	0	0	0	0	0	0.00112915	0	0	0.00418854
26	0	0	0	0	0	0	0.00112915	0	0	0.00418854
27	0	0	0	0	0	0	0.00112915	0	0	0.00418854
28	0	0	0	0	0	0	0.00112915	0	0	0.00418854
29	0	0	0	0	0	0	0.00112915	0	0	0.00418854
30	0	0	0	0	0	0	0.00112915	0	0	0.00418854
31	0	0	0	0	0	0	0.00112915	0	0	0.00418854
32	0	0	0	0	0	0	0.00112915	0	0	0.00418854
33	0	0	0	0	0	0	0.00112915	0	0	0.00418854
34	0	0	0	0	0	0	0.00112915	0	0	0.00418854
35	0	0	0	0	0	0	0.00112915	0	0	0.00418854
36	0	0	0	0	0	0	0.00112915	0	0	0.00418854
37	0	0	0	0	0	0	0.00112915	0	0	0.00418854
38	0	0	0	0	0	0	0.00112915	0	0	0.00418854
39	0	0	0	0	0	0	0.00112915	0	0	0.00418854
40	0	0	0	0	0	0	0.00112915	0	0	0.00418854
41	0	0	0	0	0	0	0.00112915	0	0	0.00418854
42	0	0	0	0	0	0	0.00112915	0	0	0.00418854
43	0	0	0	0	0	0	0.00112915	0	0	0.00418854
44	0	0	0	0	0	0	0.00112915	0	0	0.00449753
45	0	0	0	0	0	0	0.00112915	0	0	0.0045166
46	0	0	0	0	0	0	0.00112915	0	0	0.0045166
47	0	0	0	0	0	0	0.00112915	0	0	0.0045166
48	0	0	0	0	0	0	0.00112915	0	0	0.00453186
49	0	0	0	0	0	0	0.00112915	0	0	0.00453186
50	0	0	0	0	0	0	0.00112915	0	0	0.00453186
51	0	0	0	0	0	0	0.00112915	0	0	0.00453186
52	0	0	0	0	0	0	0.00112915	0	0	0.00453186
53	0	0	0	0	0	0	0.00112915	0	0	0.00453186
54	0	0	0	0	0	0	0.00112915	0	0	0.00453186
55	0	0	0	0.0200005	0	0	0.00112915	480.844	507.281	0.00844193
56	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0087204
57	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0087204
58	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0087204
59	0	0	0	0	0	0	0.00112915	480.844	507.281	0.00902939
60	0	0	0	0	0	0	0.00112915	480.844	507.281	0.00905228
61	0	0	0	0	0	0	0.00112915	480.844	507.281	0.00905991
62	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132599
63	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132942
64	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132637
65	0	0	0	0.0195389	0	0	0.00112915	480.844	507.281	0.0158043
66	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
67	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
68	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
69	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
70	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
71	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
72	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
73	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
74	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
75	0	0	0	0	0	0	0.00112915	480.844	507.281	0.0132904
76	0	0.00930786	0	0	0	0	0.00112915	480.844	507.281	0.0132904
77	0	0.136848	0	0	0	0	0.00112915	480.844	507.281	0.0132904
78	0	0.177647	0	0	0	0	0.00112915	480.844	507.281	0.0132904
79	0	0.207401	0	0	0	0	0.00112915	480.844	507.281	0.0132904
80	0	0.239006	0	0	0	0	0.00112915	480.844	507.281	0.0132904
81	0	0.256603	0	0	0	0	0.00112915	480.844	507.281	0.0132904
82	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
83	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
84	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
85	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
86	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
87	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
88	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
89	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
90	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
91	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
92	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
93	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
94	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
95	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
96	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
97	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
98	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
99	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
100	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
101	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
102	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
103	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
104	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
105	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
106	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
107	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
108	0	0.257107	0	0	0	0	0.00112915	480.844	507.281	0.0132904
