#TIME	REQUESTED	accelerate	bash	conda	pip3	python	sps	tmux: client	tmux: server	zsh
1	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0.0131264	0	0	0	0	0	0.000389099
3	0	0	0	0	0	0	0	0	0	0.0148354
4	0	0	0	0	0	0	0	0	0	0.0148354
5	0	0	0	0	0	0	0	0	0	0.0148354
6	0	0	0	0	0	0	0	0	0	0.0148354
7	0	0	0	0	0	0	0	0	0	0.0148354
8	0	0	0	0	0	0	0	0	0	0.0148354
9	0	0	0	0	0	0	0	0	0	0.0148354
10	0	0	0	0	0	0	0	0	0	0.0148354
11	0	0	0	0	0	0	0	0	0	0.0148354
12	0	0	0	0	0	0	0	0	0	0.0148354
13	0	0	0	0	0	0	0	0	0	0.0148354
14	0	0	0	0	0	0	0	0	0	0.0148354
15	0	0	0	0	0	0	0	0	0	0.0148354
16	0	0	0	0	0	0	0	0	0	0.0148354
17	0	0	0	0	0	0	0	0	0	0.0148354
18	0	0	0	0	0	0	0	0	0	0.0148354
19	0	0	0	0	0	0	0	0	0	0.0148354
20	0	0	0	0	0	0	0	0	0	0.0148354
21	0	0	0	0	0	0	0	0	0	0.0148354
22	0	0	0	0	0	0	0	0	0	0.0148354
23	0	0	0	0	0	0	0	0	0	0.0148354
24	0	0	0	0	0	0	0	0	0	0.0148354
25	0	0	0	0	0	0	0	0	0	0.0148354
26	0	0	0	0	0	0	0	0	0	0.0148354
27	0	0	0	0	0	0	0	0	0	0.0148354
28	0	0	0	0	0	0	0	0	0	0.0148354
29	0	0	0	0	0	0	0	0	0	0.0148354
30	0	0	0	0	0	0	0	0	0	0.0148354
31	0	0	0	0	0	0	0	0	0	0.0148354
32	0	0	0	0	0	0	0	0	0	0.0148354
33	0	0	0	0	0	0	0	0	0	0.0148354
34	0	0	0	0	0	0	0	0	0	0.0148354
35	0	0	0	0	0	0	0	0	0	0.0148354
36	0	0	0	0	0	0	0	0	0	0.0148354
37	0	0	0	0	0	0	0	0	0	0.0148354
38	0	0	0	0	0	0	0	0	0	0.0148354
39	0	0	0	0	0	0	0	0	0	0.0148354
40	0	0	0	0	0	0	0	0	0	0.0148354
41	0	0	0	0	0	0	0	0	0	0.0148354
42	0	0	0	0	0	0	0	0	0	0.0148354
43	0	0	0	0	0	0	0	0	0	0.0148354
