#TIME	REQUESTED	accelerate	bash	conda	pip3	python	sps	tmux: client	tmux: server	zsh
1	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	1.52588e-05	0	0	3.8147e-06
3	0	0	0	0	0	0	3.05176e-05	0	0	3.8147e-06
4	0	0	0	0	0	0	4.57764e-05	0	0	3.8147e-06
5	0	0	0	0	0	0	6.10352e-05	0	0	3.8147e-06
6	0	0	0	0	0	0	7.62939e-05	0	0	3.8147e-06
7	0	0	0	0	0	0	9.15527e-05	0	0	3.8147e-06
8	0	0	0	0	0	0	0.000106812	0	0	3.8147e-06
9	0	0	0	0	0	0	0.00012207	0	0	3.8147e-06
10	0	0	0	0	0	0	0.000137329	0	0	3.8147e-06
11	0	0	0	0	0	0	0.000152588	0	0	3.8147e-06
12	0	0	0	0	0	0	0.000167847	0	0	3.8147e-06
13	0	0	0	0	0	0	0.000183105	0	0	3.8147e-06
14	0	0	0	0	0	0	0.000198364	0	0	3.8147e-06
15	0	0	0	0	0	0	0.000213623	0	0	3.8147e-06
16	0	0	0	0	0	0	0.000228882	0	0	3.8147e-06
17	0	0	0	0	0	0	0.000244141	0	0	3.8147e-06
18	0	0	0	0	0	0	0.000259399	0	0	3.8147e-06
19	0	0	0	0	0	0	0.000274658	0	0	3.8147e-06
20	0	0	0	0	0	0	0.000289917	0	0	3.8147e-06
21	0	0	0	0	0	0	0.000305176	0	0	3.8147e-06
22	0	0	0	0	0	0	0.000320435	0	0	3.8147e-06
23	0	0	0	0	0	0	0.000335693	0	0	3.8147e-06
24	0	0	0	0	0	0	0.000350952	0	0	3.8147e-06
25	0	0	0	0	0	0	0.000366211	0	0	3.8147e-06
26	0	0	0	0	0	0	0.00038147	0	0	3.8147e-06
27	0	0	0	0	0	0	0.000396729	0	0	3.8147e-06
28	0	0	0	0	0	0	0.000411987	0	0	3.8147e-06
29	0	0	0	0	0	0	0.000427246	0	0	3.8147e-06
30	0	0	0	0	0	0	0.000442505	0	0	3.8147e-06
31	0	0	0	0	0	0	0.000457764	0	0	3.8147e-06
32	0	0	0	0	0	0	0.000473022	0	0	3.8147e-06
33	0	0	0	0	0	0	0.000488281	0	0	3.8147e-06
34	0	0	0	0	0	0	0.00050354	0	0	3.8147e-06
35	0	0	0	0	0	0	0.000518799	0	0	3.8147e-06
36	0	0	0	0	0	0	0.000534058	0	0	3.8147e-06
37	0	0	0	0	0	0	0.000549316	0	0	3.8147e-06
38	0	0	0	0	0	0	0.000564575	0	0	3.8147e-06
39	0	0	0	0	0	0	0.000579834	0	0	3.8147e-06
40	0	0	0	0	0	0	0.000595093	0	0	3.8147e-06
41	0	0	0	0	0	0	0.000610352	0	0	3.8147e-06
42	0	0	0	0	0	0	0.00062561	0	0	3.8147e-06
43	0	0	0	0	0	0	0.000640869	0	0	3.8147e-06
44	0	0	0	0	0	0	0.000656128	0	0	3.8147e-06
45	0	0	0	0	0	0	0.000671387	0	0	7.62939e-06
46	0	0	0	0	0	0	0.000686646	0	0	7.62939e-06
47	0	0	0	0	0	0	0.000701904	0	0	7.62939e-06
48	0	0	0	0	0	0	0.000717163	0	0	7.62939e-06
49	0	0	0	0	0	0	0.000732422	0	0	7.62939e-06
50	0	0	0	0	0	0	0.000747681	0	0	7.62939e-06
51	0	0	0	0	0	0	0.000762939	0	0	7.62939e-06
52	0	0	0	0	0	0	0.000778198	0	0	7.62939e-06
53	0	0	0	0	0	0	0.000793457	0	0	7.62939e-06
54	0	0	0	0	0	0	0.000808716	0	0	7.62939e-06
55	0	0	0	0	0	0	0.000823975	0	0	1.14441e-05
56	0	0	0	0	0	0	0.000839233	0	0	1.14441e-05
57	0	0	0	0	0	0	0.000854492	0	0	1.14441e-05
58	0	0	0	0	0	0	0.000869751	0	0	1.14441e-05
59	0	0	0	0	0	0	0.00088501	0	0	1.14441e-05
60	0	0	0	0	0	0	0.000900269	0	0	1.14441e-05
61	0	0	0	0	0	0	0.000915527	0	0	1.14441e-05
62	0	0	0	0	0	0	0.000930786	0	0	1.52588e-05
63	0	0	0	0	0	0	0.000946045	0	0	1.52588e-05
64	0	0	0	0	0	0	0.000961304	0	0	1.90735e-05
65	0	0	0	0	0	0	0.000976562	0	0	2.67029e-05
66	0	0	0	0	0	0	0.000991821	0	0	3.05176e-05
67	0	0	0	0	0	0	0.00100708	0	0	3.05176e-05
68	0	0	0	0	0	0	0.00102234	0	0	3.05176e-05
69	0	0	0	0	0	0	0.0010376	0	0	3.05176e-05
70	0	0	0	0	0	0	0.00105286	0	0	3.05176e-05
71	0	0	0	0	0	0	0.00106812	0	0	3.05176e-05
72	0	0	0	0	0	0	0.00108337	0	0	3.05176e-05
73	0	0	0	0	0	0	0.00109863	0	0	3.05176e-05
74	0	0	0	0	0	0	0.00111389	0	0	3.05176e-05
75	0	0	0	0	0	0	0.00112915	0	0	3.05176e-05
76	0	0	0	0	0	0	0.00114441	0	0	3.43323e-05
77	0	0	0	0	0	0	0.00115967	0	0	3.43323e-05
78	0	0	0	0	0	0	0.00117493	0	0	3.43323e-05
79	0	3.8147e-06	0	0	0	0	0.00119019	0	0	3.43323e-05
80	0	3.8147e-06	0	0	0	0	0.00120544	0	0	3.43323e-05
81	0	3.8147e-06	0	0	0	0	0.0012207	0	0	3.43323e-05
82	0	3.8147e-06	0	0	0	0	0.00123596	0	0	3.43323e-05
83	0	3.8147e-06	0	0	0	0	0.00125122	0	0	3.43323e-05
84	0	3.8147e-06	0	0	0	0	0.00126648	0	0	3.43323e-05
85	0	3.8147e-06	0	0	0	0	0.00128174	0	0	3.43323e-05
86	0	3.8147e-06	0	0	0	0	0.001297	0	0	3.43323e-05
87	0	3.8147e-06	0	0	0	0	0.00131226	0	0	3.43323e-05
88	0	3.8147e-06	0	0	0	0	0.00132751	0	0	3.43323e-05
89	0	3.8147e-06	0	0	0	0	0.00134277	0	0	3.43323e-05
90	0	3.8147e-06	0	0	0	0	0.00135803	0	0	3.43323e-05
91	0	3.8147e-06	0	0	0	0	0.00137329	0	0	3.43323e-05
92	0	3.8147e-06	0	0	0	0	0.00138855	0	0	3.43323e-05
93	0	3.8147e-06	0	0	0	0	0.00140381	0	0	3.43323e-05
94	0	3.8147e-06	0	0	0	0	0.00141907	0	0	3.43323e-05
95	0	3.8147e-06	0	0	0	0	0.00143433	0	0	3.43323e-05
96	0	3.8147e-06	0	0	0	0	0.00144958	0	0	3.43323e-05
97	0	3.8147e-06	0	0	0	0	0.00146484	0	0	3.43323e-05
98	0	3.8147e-06	0	0	0	0	0.00148392	0	0	3.43323e-05
99	0	3.8147e-06	0	0	0	0	0.00149918	0	0	3.43323e-05
100	0	3.8147e-06	0	0	0	0	0.00151443	0	0	3.43323e-05
101	0	3.8147e-06	0	0	0	0	0.00153351	0	0	3.43323e-05
102	0	3.8147e-06	0	0	0	0	0.00154877	0	0	3.43323e-05
103	0	3.8147e-06	0	0	0	0	0.00156403	0	0	3.43323e-05
104	0	3.8147e-06	0	0	0	0	0.00157928	0	0	3.43323e-05
105	0	3.8147e-06	0	0	0	0	0.00159454	0	0	3.43323e-05
106	0	3.8147e-06	0	0	0	0	0.0016098	0	0	3.43323e-05
107	0	3.8147e-06	0	0	0	0	0.00162888	0	0	3.43323e-05
108	0	3.8147e-06	0	0	0	0	0.00164413	0	0	3.43323e-05
109	0	3.8147e-06	0	0	0	0	0.00165939	0	0	3.43323e-05
110	0	3.8147e-06	0	0	0	0	0.00167465	0	0	3.43323e-05
111	0	3.8147e-06	0	0	0	0	0.00168991	0	0	3.43323e-05
112	0	3.8147e-06	0	0	0	0	0.00170517	0	0	3.43323e-05
113	0	3.8147e-06	0	0	0	0	0.00172043	0	0	3.43323e-05
114	0	3.8147e-06	0	0	0	0	0.00173569	0	0	3.43323e-05
115	0	3.8147e-06	0	0	0	0	0.00175095	0	0	3.43323e-05
116	0	3.8147e-06	0	0	0	0	0.0017662	0	0	3.43323e-05
